config,R2_mean,R2_std,RMSE
1.log-AR(3)+RidgeCV,0.6961371523696626,0.08820050328749639,0.24126687177716902
2.log-AR(6)+RidgeCV,0.6954501476492674,0.08383347648840206,0.2412093237677042
3.log-AR(12)+RidgeCV,0.6845624806973267,0.09032525368561997,0.24909359331677905
4.FILT-level AR(6)+RidgeCV,0.5724649342018787,0.20669491667552436,0.2348951477959999
5.log-AR(6)+ElasticNet,0.6954501476492674,0.08383347648840206,0.2412093237677042
6.log-AR(6)+Huber,0.6954501476492674,0.08383347648840206,0.2412093237677042
7.log-AR(6)+Ensemble-3,0.7018825613551894,0.09376297444231402,0.2301506709328371
8.log-AR(6)+ARDL-tau+Ensemble,0.7043192601301442,0.09107780858707215,0.2312108838769087
