theta,model,comfort_n,stress_n,rmse,r2
0.03,A_baseline,307,3695,0.3533864275444272,0.7135076468539807
0.03,B_pure_ar,307,3695,0.35158510184324293,0.7164208926408272
0.03,C_enhanced,307,3695,0.351334990298875,0.716824215649748
0.04,A_baseline,1356,2646,0.3627592311386024,0.6981089424087793
0.04,B_pure_ar,1356,2646,0.3497433841952837,0.7193840712652579
0.04,C_enhanced,1356,2646,0.3506782133523925,0.7178819496971776
0.05,A_baseline,1862,2140,0.36658158132239294,0.6917134455173142
0.05,B_pure_ar,1862,2140,0.34999955084528184,0.7189728510893665
0.05,C_enhanced,1862,2140,0.352650800150942,0.7146991598882708
0.060000000000000005,A_baseline,2165,1837,0.3683487953723849,0.6887339093784601
0.060000000000000005,B_pure_ar,2165,1837,0.35068020262073424,0.7178787489845213
0.060000000000000005,C_enhanced,2165,1837,0.3539630378932721,0.7125719616420132
0.07,A_baseline,2340,1662,0.36935214860979954,0.6870358710115128
0.07,B_pure_ar,2340,1662,0.350773295346616,0.7177289434233336
0.07,C_enhanced,2340,1662,0.3550862938479724,0.7107448356953487
0.08000000000000002,A_baseline,2522,1480,0.36994614152678573,0.6860284424220009
0.08000000000000002,B_pure_ar,2522,1480,0.3515024630801357,0.7165541853909563
0.08000000000000002,C_enhanced,2522,1480,0.3549539012082799,0.7109604909672461
0.09000000000000001,A_baseline,2674,1328,0.3699000418155215,0.6861066867646677
0.09000000000000001,B_pure_ar,2674,1328,0.35139771411552956,0.7167230959094343
0.09000000000000001,C_enhanced,2674,1328,0.3554805981906324,0.7101020742306087
0.1,A_baseline,2803,1199,0.36992965503328573,0.6860564258180826
0.1,B_pure_ar,2803,1199,0.3512578342028887,0.7169485775238507
0.1,C_enhanced,2803,1199,0.35744008115918086,0.706897310561092
0.11000000000000001,A_baseline,2881,1121,0.3684799759945987,0.6885121665588803
0.11000000000000001,B_pure_ar,2881,1121,0.34939824835790245,0.7199376361392362
0.11000000000000001,C_enhanced,2881,1121,0.3535256541489915,0.7132818588110317
0.12000000000000002,A_baseline,2962,1040,0.3686175469611284,0.6882795369215664
0.12000000000000002,B_pure_ar,2962,1040,0.34997399832366033,0.7190138836572681
0.12000000000000002,C_enhanced,2962,1040,0.3540054381349089,0.7125030971171942
0.13,A_baseline,3020,982,0.36853345938071874,0.6884217375848398
0.13,B_pure_ar,3020,982,0.3502629911429206,0.7185496406151686
0.13,C_enhanced,3020,982,0.3560482367125147,0.7091755054386397
0.14,A_baseline,3077,925,0.3677518638587508,0.6897419429987715
0.14,B_pure_ar,3077,925,0.3493216060015703,0.7200604889892201
0.14,C_enhanced,3077,925,0.3553218335681417,0.7103609646287096
0.15000000000000002,A_baseline,3118,884,0.3676104856015639,0.68998044790501
0.15000000000000002,B_pure_ar,3118,884,0.3494548094374662,0.7198469550217934
0.15000000000000002,C_enhanced,3118,884,0.3562982503172818,0.708766933785166
0.16000000000000003,A_baseline,3154,848,0.36759513343584505,0.690006341465415
0.16000000000000003,B_pure_ar,3154,848,0.34983051177395125,0.7192442405613217
0.16000000000000003,C_enhanced,3154,848,0.3532818319222707,0.7136772142675908
0.17,A_baseline,3189,813,0.36751250787017875,0.690145682389468
0.17,B_pure_ar,3189,813,0.3502867959445941,0.7185113830896749
0.17,C_enhanced,3189,813,0.3534186364931804,0.7134554205242689
0.18000000000000002,A_baseline,3228,774,0.36749929363012757,0.690167964165656
0.18000000000000002,B_pure_ar,3228,774,0.3508333693014904,0.7176322508244815
0.18000000000000002,C_enhanced,3228,774,0.35478078312635414,0.7112423628552769
0.19000000000000003,A_baseline,3243,759,0.3675014375344322,0.690164349180896
