model,rmse_mean,rmse_std,r2_mean,r2_std,mape_mean,mape_std,variance_mean
GAM,0.5478426508948886,0.1615157747516325,0.06673325074544748,0.5376010335747073,41.99315762364565,6.997547146485569,0.25857690895530444
LightGBM,0.5018603156028807,0.18467884287437247,0.26461566579541795,0.3426229927107451,66.62205594295737,63.64736707877784,0.23567208208043552
Linear(Ridge),0.7845530743447697,0.6655979730140085,-0.5566204785489264,1.7481058018701325,54.38461970373196,15.36929536852941,1.5692367505301632
RandomForest,0.43250837019788013,0.07836410867321532,0.31664918962803973,0.5071405729031357,42.55450170405184,10.814662514652815,0.32039315589089923
XGBoost,0.4366647071388866,0.09465497090500086,0.33711637846951154,0.4568073795044581,47.8223377990451,15.965265911964908,0.3541333627549296
